SA3_CODE,YEAR,MEDIAN_WEEKLY_HH_INCOME,POP
204011055,2021,772,
204011056,2021,965,
204011057,2021,884,
204011058,2021,867,
204011059,2021,792,
204011060,2021,1115,
204011061,2021,624,
204011062,2021,820,
204021063,2021,777,
204021064,2021,867,
204021065,2021,890,
204021066,2021,840,
204021067,2021,944,
204031068,2021,958,
204031069,2021,923,
204031070,2021,951,
204031071,2021,826,
204031072,2021,844,
204031073,2021,956,
204031075,2021,1073,
204031491,2021,1186,
204031492,2021,847,
205011076,2021,895,
205011077,2021,917,
205011078,2021,917,
205011079,2021,979,
205021081,2021,783,
205021082,2021,839,
205021084,2021,697,
205021085,2021,642,
205021086,2021,727,
205031087,2021,761,
205031088,2021,545,
205031089,2021,866,
205031090,2021,844,
205031091,2021,790,
205031092,2021,1275,
205031093,2021,767,
205041094,2021,887,
205041095,2021,706,
205041096,2021,637,
205041098,2021,976,
205041493,2021,904,
205041494,2021,1046,
205051099,2021,450,
205051100,2021,728,
205051101,2021,859,
205051102,2021,936,
205051103,2021,887,
205051104,2021,692,
206011106,2021,1569,
206011107,2021,1282,
206011109,2021,1310,
206011495,2021,1420,
206011496,2021,1539,
206011497,2021,1238,
206011498,2021,1285,
206021110,2021,1447,
206021112,2021,1344,
206021499,2021,1513,
206021500,2021,1584,
206031113,2021,1467,
206031115,2021,1186,
206031116,2021,1456,
206031501,2021,1397,
206031502,2021,1459,
206041117,2021,971,
206041118,2021,1452,
206041119,2021,1914,
206041120,2021,2022,
206041121,2021,1610,
206041124,2021,1381,
206041125,2021,1816,
206041503,2021,1165,
206041504,2021,844,
206041505,2021,1116,
206041506,2021,1281,
206041508,2021,1576,
206041509,2021,1431,
206041510,2021,1335,
206051128,2021,1724,
206051129,2021,1643,
206051130,2021,1787,
206051134,2021,1518,
206051511,2021,1791,
206051512,2021,1624,
206051513,2021,1462,
206051514,2021,1508,
206061135,2021,1696,
206061136,2021,1650,
206061138,2021,1866,
206061515,2021,1703,
206061516,2021,1619,
206071139,2021,1692,
206071140,2021,1615,
206071141,2021,1692,
206071142,2021,1679,
206071143,2021,1630,
206071145,2021,1767,
206071517,2021,1900,
206071518,2021,1539,
207011146,2021,1559,
207011147,2021,1268,
207011148,2021,1316,
207011149,2021,1605,
207011150,2021,1733,
207011152,2021,1608,
207011154,2021,1543,
207011155,2021,1691,
207011519,2021,1699,
207011520,2021,1589,
207011521,2021,1699,
207011522,2021,1629,
207021156,2021,1086,
207021157,2021,1017,
207021159,2021,1198,
207021160,2021,1117,
207021424,2021,1093,
207021425,2021,979,
207031161,2021,1252,
207031162,2021,1090,
207031163,2021,966,
207031164,2021,1149,
207031165,2021,995,
207031166,2021,972,
207031167,2021,1529,
208011168,2021,1558,
208011169,2021,1807,
208011170,2021,1597,
208011171,2021,1417,
208011172,2021,1550,
208011173,2021,1572,
208021174,2021,1377,
208021176,2021,1305,
208021177,2021,1487,
208021178,2021,1455,
208021179,2021,1546,
208021180,2021,1291,
208021181,2021,1360,
208021182,2021,1323,
208021426,2021,1289,
208021427,2021,1281,
208031183,2021,1212,
208031184,2021,942,
208031185,2021,1163,
208031186,2021,1168,
208031187,2021,1065,
208031188,2021,1213,
208031189,2021,1358,
208031190,2021,1290,
208031191,2021,1203,
208031193,2021,1307,
208041194,2021,1701,
208041195,2021,1555,
209011196,2021,969,
209011197,2021,1216,
209011198,2021,1372,
209011199,2021,1059,
209011200,2021,1509,
209011201,2021,1733,
209011202,2021,1269,
209011203,2021,1195,
209011204,2021,1160,
209021205,2021,1054,
209021428,2021,1167,
209021429,2021,1230,
209021523,2021,1014,
209021524,2021,855,
209021525,2021,917,
209021526,2021,1120,
209031209,2021,1396,
209031210,2021,1198,
209031211,2021,1060,
209031212,2021,1242,
209031213,2021,1377,
209031214,2021,1526,
209031215,2021,1362,
209041216,2021,1099,
209041217,2021,897,
209041220,2021,1032,
209041221,2021,961,
209041223,2021,729,
209041224,2021,1094,
209041225,2021,1061,
209041431,2021,948,
209041432,2021,856,
209041433,2021,1017,
209041435,2021,1162,
209041436,2021,1075,
209041437,2021,1046,
209041527,2021,1159,
209041528,2021,1172,
209041529,2021,726,
209041530,2021,806,
209041531,2021,1068,
209041532,2021,1118,
210011226,2021,1147,
210011228,2021,1054,
210011230,2021,1314,
210011231,2021,1405,
210011533,2021,959,
210011534,2021,1092,
210021232,2021,1295,
210021233,2021,1377,
210021234,2021,1208,
210021235,2021,1131,
210031236,2021,1210,
210031237,2021,806,
210031439,2021,1246,
210031440,2021,928,
210031535,2021,932,
210031536,2021,1140,
210031537,2021,1369,
210031538,2021,1259,
210041240,2021,1165,
210041539,2021,1194,
210041540,2021,1071,
210041541,2021,1149,
210051242,2021,677,
210051243,2021,611,
210051245,2021,952,
210051246,2021,1161,
210051247,2021,658,
210051248,2021,1406,
210051250,2021,937,
210051441,2021,867,
210051442,2021,1002,
210051443,2021,940,
210051445,2021,1055,
210051542,2021,975,
210051543,2021,936,
210051544,2021,831,
210051545,2021,748,
211011251,2021,1027,
211011254,2021,1100,
211011255,2021,1404,
211011256,2021,1161,
211011257,2021,1208,
211011258,2021,1232,
211011259,2021,1073,
211011260,2021,1041,
211011446,2021,1025,
211011447,2021,1011,
211011448,2021,1100,
211011449,2021,1147,
211021261,2021,1288,
211021262,2021,1506,
211031263,2021,1098,
211031265,2021,1312,
211031266,2021,1096,
211031267,2021,1174,
211031268,2021,1277,
211031450,2021,1024,
211031451,2021,1046,
211031452,2021,1106,
211041269,2021,1018,
211041270,2021,1227,
211041271,2021,1154,
211041272,2021,1131,
211041273,2021,1077,
211051274,2021,1246,
211051275,2021,1153,
211051276,2021,979,
211051277,2021,997,
211051278,2021,1066,
211051279,2021,1066,
211051280,2021,1141,
211051281,2021,1113,
211051282,2021,1210,
211051283,2021,1102,
211051284,2021,1211,
211051285,2021,1133,
211051286,2021,883,
212011289,2021,1182,
212011546,2021,1204,
212011547,2021,1048,
212011548,2021,1045,
212011549,2021,978,
212011550,2021,1066,
212011551,2021,803,
212011552,2021,987,
212021293,2021,1117,
212021295,2021,744,
212021297,2021,844,
212021299,2021,1287,
212021453,2021,979,
212021454,2021,962,
212021455,2021,1041,
212021456,2021,936,
212021553,2021,1220,
212021554,2021,1151,
212031300,2021,895,
212031303,2021,1214,
212031304,2021,1037,
212031306,2021,1154,
212031308,2021,1061,
212031457,2021,1145,
212031458,2021,1006,
212031555,2021,1176,
212031556,2021,1155,
212031557,2021,978,
212031558,2021,1039,
212031559,2021,1094,
212031560,2021,943,
212031561,2021,874,
212031562,2021,821,
212041309,2021,941,
212041310,2021,942,
212041312,2021,828,
212041313,2021,1104,
212041316,2021,839,
212041317,2021,782,
212041318,2021,790,
212041459,2021,863,
212041460,2021,798,
212041563,2021,749,
212041564,2021,744,
212041565,2021,833,
212041566,2021,1241,
212051319,2021,1215,
212051321,2021,1050,
212051322,2021,1075,
212051323,2021,1175,
212051324,2021,1184,
212051325,2021,1064,
212051326,2021,1180,
212051327,2021,1030,
212051567,2021,870,
212051568,2021,1013,
213011328,2021,896,
213011329,2021,1023,
213011331,2021,847,
213011332,2021,889,
213011333,2021,691,
213011334,2021,689,
213011335,2021,683,
213011336,2021,968,
213011337,2021,791,
213011338,2021,811,
213011339,2021,1040,
213011340,2021,1139,
213011569,2021,820,
213011570,2021,1112,
213021341,2021,1212,
213021342,2021,991,
213021343,2021,1078,
213021344,2021,1598,
213021345,2021,1144,
213021346,2021,1508,
213031347,2021,1007,
213031348,2021,1233,
213031349,2021,1312,
213031350,2021,1556,
213031351,2021,1282,
213031352,2021,1625,
213041353,2021,1073,
213041358,2021,926,
213041359,2021,1152,
213041360,2021,1142,
213041461,2021,936,
213041462,2021,1086,
213041463,2021,1132,
213041571,2021,898,
213041572,2021,1104,
213041573,2021,1384,
213041574,2021,1206,
213041575,2021,1147,
213041576,2021,919,
213041577,2021,693,
213041578,2021,787,
213051361,2021,991,
213051362,2021,876,
213051363,2021,1205,
213051368,2021,1105,
213051464,2021,1289,
213051466,2021,1365,
213051467,2021,844,
213051468,2021,1132,
213051579,2021,1224,
213051580,2021,1183,
213051581,2021,1299,
213051582,2021,1089,
213051583,2021,1076,
213051584,2021,1122,
213051585,2021,972,
213051586,2021,1225,
213051587,2021,1222,
213051588,2021,997,
213051589,2021,1041,
213051590,2021,986,
214011370,2021,1022,
214011371,2021,951,
214011372,2021,841,
214011373,2021,1179,
214011374,2021,1138,
214011375,2021,1010,
214011376,2021,1219,
214021377,2021,932,
214021378,2021,1391,
214021379,2021,906,
214021381,2021,1413,
214021382,2021,1198,
214021383,2021,950,
214021384,2021,783,
214021385,2021,1059,
214021591,2021,950,
214021592,2021,979,
215011386,2021,814,
215011387,2021,887,
215011388,2021,899,
215011389,2021,972,
215011390,2021,781,
215011391,2021,668,
215011392,2021,795,
215011393,2021,791,
215011394,2021,730,
215021395,2021,1009,
215021396,2021,835,
215021398,2021,837,
215021399,2021,837,
215021469,2021,811,
215021470,2021,888,
215031400,2021,738,
215031401,2021,753,
215031402,2021,682,
215031403,2021,774,
215031404,2021,905,
215031405,2021,866,
216011406,2021,882,
216011407,2021,799,
216011408,2021,890,
216011409,2021,763,
216011410,2021,703,
216021411,2021,723,
216021412,2021,839,
216021413,2021,795,
216021414,2021,765,
216031415,2021,760,
216031416,2021,979,
216031418,2021,952,
216031419,2021,882,
216031593,2021,1097,
216031594,2021,732,
217011420,2021,807,
217011421,2021,844,
217011422,2021,803,
217011423,2021,861,
217031471,2021,783,
